Reading /home/ssamal/workspace/conexpng/floating_codings_4.fccsv


***Reading first 10 records***
No of Objects:10
No of attributes:256
No of concepts:166
	Completed reading 90 records
No of Objects: 100
No of attributes: 256
No of concepts: 6805
Read time: 2777ms

-----------------------------------------------------------------------------------------------------------------------
  Object     Extent                                 Probabilities                                          Predicted    Actual
                Size       [0  , 1   , 2   , 3   , 4   , 5   , 6   , 7   , 8   , 9   ]                          Class      Class
-----------------------------------------------------------------------------------------------------------------------
 o6.0_24        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00]]    [[6.0]]      [6.0] _/
 o9.0_45        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00]]    [[9.0]]      [9.0] _/
 o3.0_88        {1}    [[0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[3.0]]      [3.0] _/
 o3.0_82        {1}    [[0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[3.0]]      [3.0] _/
 o3.0_80        {1}    [[0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[3.0]]      [3.0] _/
 o4.0_17        {2}    [[0.00, 0.00, 0.50, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[2.0]]      [4.0]
 o7.0_38        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00]]    [[7.0]]      [7.0] _/
 o7.0_35        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00]]    [[7.0]]      [7.0] _/
 o5.0_23        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00]]    [[5.0]]      [5.0] _/
 o0.0_77        {1}    [[1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[0.0]]      [0.0] _/
 o6.0_30        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00]]    [[6.0]]      [6.0] _/
 o6.0_31        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00]]    [[6.0]]      [6.0] _/
 o0.0_71        {1}    [[1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[0.0]]      [0.0] _/
 o6.0_33        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00]]    [[6.0]]      [6.0] _/
 o5.0_96        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00]]    [[5.0]]      [5.0] _/
 o5.0_99        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00]]    [[5.0]]      [5.0] _/
  o0.0_1        {1}    [[1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[0.0]]      [0.0] _/
 o4.0_89        {1}    [[0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[4.0]]      [4.0] _/
 o5.0_15        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00]]    [[5.0]]      [5.0] _/
 o4.0_87        {1}    [[0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[4.0]]      [4.0] _/
 o2.0_13        {1}    [[0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[2.0]]      [2.0] _/
 o5.0_12        {2}    [[0.00, 0.00, 0.00, 0.00, 0.00, 0.50, 0.50, 0.00, 0.00, 0.00]]    [[5.0]]      [5.0] _/
 o2.0_98        {1}    [[0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[2.0]]      [2.0] _/
 o5.0_18        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00]]    [[5.0]]      [5.0] _/
 o5.0_16        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00]]    [[5.0]]      [5.0] _/
 o6.0_46        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00]]    [[6.0]]      [6.0] _/
 o9.0_69        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00]]    [[9.0]]      [9.0] _/
 o9.0_65        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00]]    [[9.0]]      [9.0] _/
 o3.0_60        {1}    [[0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[3.0]]      [3.0] _/
 o1.0_10        {1}    [[0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[1.0]]      [1.0] _/
 o5.0_86        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00]]    [[5.0]]      [5.0] _/
 o8.0_68        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00]]    [[8.0]]      [8.0] _/
  o6.0_9        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00]]    [[6.0]]      [6.0] _/
 o7.0_95        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00]]    [[7.0]]      [7.0] _/
 o2.0_64        {2}    [[0.00, 0.00, 0.50, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[2.0]]      [2.0] _/
 o0.0_54        {1}    [[1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[0.0]]      [0.0] _/
 o3.0_55        {1}    [[0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[3.0]]      [3.0] _/
  o6.0_5        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00]]    [[6.0]]      [6.0] _/
 o1.0_22        {1}    [[0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[1.0]]      [1.0] _/
 o2.0_74        {1}    [[0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[2.0]]      [2.0] _/
 o8.0_73        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00]]    [[8.0]]      [8.0] _/
 o4.0_27        {1}    [[0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[4.0]]      [4.0] _/
 o4.0_25        {1}    [[0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[4.0]]      [4.0] _/
 o5.0_79        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00]]    [[5.0]]      [5.0] _/
 o3.0_43        {1}    [[0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[3.0]]      [3.0] _/
  o8.0_0        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00]]    [[8.0]]      [8.0] _/
 o1.0_32        {1}    [[0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[1.0]]      [1.0] _/
 o6.0_66        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00]]    [[6.0]]      [6.0] _/
 o1.0_36        {1}    [[0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[1.0]]      [1.0] _/
