Reading /home/ssamal/workspace/conexpng/floating_codings_2.fccsv


***Reading first 10 records***
No of Objects:10
No of attributes:128
No of concepts:293
	Completed reading 90 records
No of Objects: 100
No of attributes: 128
No of concepts: 2074
Read time: 942ms

-----------------------------------------------------------------------------------------------------------------------
  Object     Extent                                 Probabilities                                          Predicted    Actual
                Size       [0  , 1   , 2   , 3   , 4   , 5   , 6   , 7   , 8   , 9   ]                          Class      Class
-----------------------------------------------------------------------------------------------------------------------
 o6.0_24        {1}    [[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00]]    [[6.0]]      [6.0] _/
 o3.0_88        {6}    [[0.00, 0.16, 0.00, 0.33, 0.00, 0.16, 0.16, 0.00, 0.16, 0.00]]    [[3.0]]      [3.0] _/
 o9.0_45       {10}    [[0.00, 0.10, 0.20, 0.00, 0.00, 0.10, 0.10, 0.00, 0.40, 0.10]]    [[8.0]]      [9.0]
 o3.0_82        {7}    [[0.14, 0.14, 0.00, 0.28, 0.14, 0.14, 0.14, 0.00, 0.00, 0.00]]    [[3.0]]      [3.0] _/
 o3.0_80        {5}    [[0.00, 0.00, 0.20, 0.40, 0.00, 0.00, 0.20, 0.00, 0.20, 0.00]]    [[3.0]]      [3.0] _/
 o4.0_17        {5}    [[0.00, 0.20, 0.00, 0.00, 0.20, 0.40, 0.00, 0.00, 0.20, 0.00]]    [[5.0]]      [4.0]
 o7.0_38        {8}    [[0.00, 0.25, 0.12, 0.12, 0.00, 0.12, 0.25, 0.12, 0.00, 0.00]]    [[1.0]]      [7.0]
 o7.0_35        {4}    [[0.00, 0.50, 0.00, 0.00, 0.25, 0.00, 0.00, 0.25, 0.00, 0.00]]    [[1.0]]      [7.0]
 o5.0_23        {9}    [[0.00, 0.11, 0.00, 0.11, 0.00, 0.22, 0.22, 0.00, 0.22, 0.11]]    [[5.0]]      [5.0] _/
 o0.0_77        {8}    [[0.25, 0.12, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.50, 0.00]]    [[8.0]]      [0.0]
 o6.0_30       {10}    [[0.10, 0.30, 0.00, 0.10, 0.00, 0.00, 0.40, 0.00, 0.10, 0.00]]    [[6.0]]      [6.0] _/
 o6.0_31        {6}    [[0.16, 0.16, 0.00, 0.00, 0.33, 0.00, 0.16, 0.00, 0.16, 0.00]]    [[4.0]]      [6.0]
 o0.0_71        {6}    [[0.16, 0.16, 0.00, 0.00, 0.33, 0.00, 0.16, 0.00, 0.16, 0.00]]    [[4.0]]      [0.0]
 o6.0_33        {6}    [[0.00, 0.16, 0.00, 0.00, 0.00, 0.33, 0.16, 0.00, 0.16, 0.16]]    [[5.0]]      [6.0]
 o5.0_96       {11}    [[0.36, 0.00, 0.00, 0.09, 0.18, 0.18, 0.09, 0.09, 0.00, 0.00]]    [[0.0]]      [5.0]
 o5.0_99        {7}    [[0.00, 0.28, 0.00, 0.00, 0.14, 0.28, 0.14, 0.00, 0.14, 0.00]]    [[1.0]]      [5.0]
  o0.0_1        {7}    [[0.28, 0.14, 0.14, 0.14, 0.00, 0.00, 0.00, 0.00, 0.28, 0.00]]    [[0.0]]      [0.0] _/
 o4.0_89        {9}    [[0.00, 0.11, 0.00, 0.11, 0.22, 0.22, 0.11, 0.11, 0.11, 0.00]]    [[4.0]]      [4.0] _/
 o5.0_15       {12}    [[0.16, 0.00, 0.00, 0.08, 0.08, 0.25, 0.25, 0.00, 0.08, 0.08]]    [[5.0]]      [5.0] _/
 o4.0_87        {6}    [[0.16, 0.16, 0.00, 0.00, 0.33, 0.00, 0.16, 0.00, 0.16, 0.00]]    [[4.0]]      [4.0] _/
 o2.0_13       {10}    [[0.00, 0.10, 0.20, 0.00, 0.00, 0.10, 0.10, 0.00, 0.40, 0.10]]    [[8.0]]      [2.0]
 o5.0_12       {15}    [[0.20, 0.00, 0.06, 0.20, 0.06, 0.20, 0.20, 0.00, 0.06, 0.00]]    [[0.0]]      [5.0]
 o2.0_98        {5}    [[0.00, 0.40, 0.20, 0.00, 0.20, 0.00, 0.20, 0.00, 0.00, 0.00]]    [[1.0]]      [2.0]
 o5.0_18       {11}    [[0.09, 0.18, 0.00, 0.18, 0.00, 0.09, 0.00, 0.00, 0.09, 0.36]]    [[9.0]]      [5.0]
 o5.0_16        {6}    [[0.00, 0.16, 0.00, 0.00, 0.00, 0.33, 0.16, 0.00, 0.16, 0.16]]    [[5.0]]      [5.0] _/
 o6.0_46        {3}    [[0.00, 0.33, 0.00, 0.00, 0.00, 0.00, 0.33, 0.00, 0.33, 0.00]]    [[1.0]]      [6.0]
 o9.0_69       {10}    [[0.00, 0.10, 0.20, 0.30, 0.00, 0.20, 0.00, 0.10, 0.00, 0.10]]    [[3.0]]      [9.0]
 o9.0_65        {8}    [[0.00, 0.12, 0.12, 0.00, 0.00, 0.00, 0.12, 0.00, 0.37, 0.25]]    [[8.0]]      [9.0]
 o3.0_60        {9}    [[0.00, 0.11, 0.00, 0.11, 0.00, 0.22, 0.22, 0.00, 0.22, 0.11]]    [[5.0]]      [3.0]
 o1.0_10        {7}    [[0.00, 0.28, 0.00, 0.00, 0.14, 0.28, 0.14, 0.00, 0.14, 0.00]]    [[1.0]]      [1.0] _/
 o5.0_86        {8}    [[0.25, 0.12, 0.00, 0.12, 0.00, 0.37, 0.12, 0.00, 0.00, 0.00]]    [[5.0]]      [5.0] _/
 o8.0_68        {5}    [[0.00, 0.20, 0.00, 0.00, 0.20, 0.40, 0.00, 0.00, 0.20, 0.00]]    [[5.0]]      [8.0]
  o6.0_9        {5}    [[0.00, 0.00, 0.20, 0.40, 0.00, 0.00, 0.20, 0.00, 0.20, 0.00]]    [[3.0]]      [6.0]
 o7.0_95       {10}    [[0.20, 0.10, 0.10, 0.10, 0.00, 0.10, 0.00, 0.10, 0.30, 0.00]]    [[8.0]]      [7.0]
 o2.0_64        {7}    [[0.71, 0.14, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[0.0]]      [2.0]
 o0.0_54        {7}    [[0.71, 0.14, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[0.0]]      [0.0] _/
 o3.0_55       {10}    [[0.00, 0.10, 0.20, 0.30, 0.00, 0.20, 0.00, 0.10, 0.00, 0.10]]    [[3.0]]      [3.0] _/
  o6.0_5        {9}    [[0.11, 0.11, 0.11, 0.00, 0.11, 0.00, 0.22, 0.00, 0.22, 0.11]]    [[6.0]]      [6.0] _/
 o1.0_22        {5}    [[0.00, 0.20, 0.00, 0.00, 0.20, 0.40, 0.00, 0.00, 0.20, 0.00]]    [[5.0]]      [1.0]
 o2.0_74        {3}    [[0.00, 0.00, 0.33, 0.00, 0.00, 0.33, 0.00, 0.00, 0.33, 0.00]]    [[2.0]]      [2.0] _/
 o8.0_73        {2}    [[0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.50, 0.00]]    [[1.0]]      [8.0]
 o4.0_27       {10}    [[0.30, 0.20, 0.10, 0.00, 0.10, 0.00, 0.10, 0.00, 0.20, 0.00]]    [[0.0]]      [4.0]
 o4.0_25       {12}    [[0.08, 0.00, 0.08, 0.08, 0.25, 0.08, 0.33, 0.00, 0.08, 0.00]]    [[6.0]]      [4.0]
 o5.0_79        {6}    [[0.00, 0.16, 0.00, 0.00, 0.00, 0.33, 0.16, 0.00, 0.16, 0.16]]    [[5.0]]      [5.0] _/
 o3.0_43        {5}    [[0.00, 0.00, 0.20, 0.40, 0.00, 0.00, 0.20, 0.00, 0.20, 0.00]]    [[3.0]]      [3.0] _/
  o8.0_0        {9}    [[0.00, 0.11, 0.00, 0.11, 0.22, 0.22, 0.11, 0.11, 0.11, 0.00]]    [[4.0]]      [8.0]
 o1.0_32        {4}    [[0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[1.0]]      [1.0] _/
 o1.0_36        {2}    [[0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.50, 0.00]]    [[1.0]]      [1.0] _/
 o6.0_66       {10}    [[0.10, 0.30, 0.00, 0.10, 0.00, 0.00, 0.40, 0.00, 0.10, 0.00]]    [[6.0]]      [6.0] _/
